Measuring.Program.Name,Station.Name,WDL SAM_COLLECTION_DATE,Collection.Time,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,microcyst,VegRank,turb.FNU,FieldComments_WQ,DataCorrectionComments
YBFMP,SHR,4/26/2021,9:13,CLR,0.85,16.9,8.82,138,117,7.82,Ebb,1,1,6.9,,
YBFMP,LIS,4/27/2021,12:02,CLR,0.37,17.6,6.91,559,480,7.82,Ebb,1,1,15.9,,
YBFMP,STTD,4/27/2021,9:33,CLR,0.37,16.9,8,547,462,7.98,Ebb,1,1,18.3,,
YBFMP,SHR,5/10/2021,9:55,CLR,2.1,20.5,8.29,146,134,7.5,Ebb,1,1,5.9,,
YBFMP,LIS,5/11/2021,12:26,CLR,0.39,22.2,6.79,762,722,8.16,Ebb,1,1,20.4,,
YBFMP,STTD,5/11/2021,9:31,CLR,0.45,20,7.76,264,238,7.84,Ebb,1,2,16.1,,
YBFMP,LIS,5/25/2021,12:52,CLR,0.3,23.8,8.25,292,285,8.08,Flood,1,1,37.8,,
YBFMP,SHR,5/24/2021,9:44,CLR,1.38,20,8.72,137,124,7.74,Ebb,1,1,5.8,end of pole to handle for light attenuation,
YBFMP,STTD,5/25/2021,9:16,CLR,0.36,19.8,8.12,216,195,8.48,Ebb,1,2,22.1,lots of straw vegetation for drift sample,
YBFMP,SHR,6/7/2021,9:02,CLR,2.3,24.1,8,135,132,7.75,Ebb,1,1,3.9,end of pole to handle for light attenuation,
YBFMP,LIS,6/9/2021,12:26,CLR,0.26,22.3,8.16,295,280,7.92,low,1,1,21.1,,
YBFMP,STTD,6/9/2021,9:37,CLR,0.38,19.7,7.9,210,189,8.47,Ebb,1,1,17.7,water calibration number was off for light attenuation so we changed it to what is on instruction sheet. Some veg got wrapped on flowmeter for drift sample,
YBFMP,SHR,6/21/2021,8:58,CLR,1.5,24.5,7.81,124,123,7.71,Ebb,1,1,3.5,left light attenuation equipment at the lab,
YBFMP,LIS,6/22/2021,12:55,CLR,0.34,25.5,7.66,272,274,8.03,Flood,1,1,26.9,,
YBFMP,STTD,6/22/2021,9:17,CLR,0.5,22.6,7.43,210,200,8.45,Ebb,1,1,16.4,,
YBFMP,SHR,7/7/2021,9:35,CLR,1.1,24.1,7.85,129,127,7.69,Ebb,1,1,5,,
YBFMP,LIS,7/6/2021,11:00,CLR,0.4,23.7,7.65,262,256,8.25,Flood,1,2,18.2,,
YBFMP,STTD,7/6/2021,9:03,CLR,0.6,21.5,7.68,245,229,8.84,Ebb,1,1,12,,
YBFMP,SHR,7/20/2021,9:18,CLR,1,23.7,8.11,134,131,7.93,Ebb,1,1,5.6,,
YBFMP,LIS,7/19/2021,11:42,CLD,0.39,24.4,7.65,298,295,8.47,Flood,1,2,19.4,,
YBFMP,STTD,7/19/2021,9:40,CLD,0.51,23.5,8.47,248,241,9.05,Flood,1,2,11.4,samples towed from boat,
NDFS,RMB,8/2/2021,8:13,CLR,0.08,24.5,2.91,1492,1477,8.42,Flood,1,1,240.5,"double checked tide later, samples taken at less than a meter, too shallow",
NDFS,WWT,8/2/2021,10:10,CLR,,23.7,1.74,964,939,7.41,,1,2,9,"Secchi greater than 0.56m, hit the bottom, no shade possible due to veg, samples taken at less than a meter, too shallow, lot of sav (Datasheet says phyto/chla taken but it was not -LD)",
NDFS,RD22,8/2/2021,11:07,CLR,0.36,24.3,6.73,888,877,8.06,Flood,1,2,17.9,Snagged something towards the end of tow but released,
NDFS,DWT,8/2/2021,8:15,CLR,0.12,23.4,2.78,1087,1055,7.59,,1,2,63.2,,
NDFS,I80,8/2/2021,8:50,CLR,0.91,22.2,1.04,1068,1010,7.28,,1,3,5.4,lots of duckweed. Couldn’t paddle far to get enough revs. Had to turn and head downstream during tow. Went through duckweed and coontail patch.,
Shared,LIS,8/2/2021,10:16,CLR,0.38,23.2,7.79,310,299,7.99,Low,2,1,17,,
Shared,STTD,8/3/2021,10:55,CLR,1,22.6,7.63,251,239,8.35,Flood,2,1,10,"WQ taken by USFWS, LA/Drift/Zoop taken by DWR",
NDFS,BL5,8/3/2021,9:31,CLR,0.65,20.7,7.76,239,219,8.53,slack,2,1,7.3,tow 1 (DWR) pre/____ and around veg,
NDFS,PRS,8/3/2021,10:17,CLR,1,20.7,8.09,229,210,8.55,slack,2,1,5.3,,
NDFS,LIB,8/3/2021,9:21,CLR,1.1,21.4,8.06,212,197,7.9,slack,2,1,3.9,,
NDFS,RYI,8/3/2021,8:28,CLR,0.8,21.7,8.29,210,197,8.09,ls,2,1,5.3,,
NDFS,RVB,8/3/2021,7:13,CLR,0.95,22.4,8.24,113,107,7.74,Ebb,2,1,7.9,"shimofuri gobi (~25mm) released, close to shore due to wind",
Shared,SHR,8/3/2021,8:50,CLR,2,23.6,8.13,138,134,7.78,Ebb,1,1,5.6,,
NDFS,RMB,8/16/2021,10:21,CLR,0.47,26.9,1.42,787,816,7.39,Flood,1,2,11.5,Hazy,
NDFS,WWT,8/16/2021,9:00,CLD,NA,24.6,1.36,910,903,7.2,Flood,1,2,8.1,"Hazy, secchi hit bottom",
NDFS,RD22,8/16/2021,7:37,CLD,0.39,23.2,4.87,888,858,7.66,Ebb,1,2,7.06,Hazy,
NDFS,DWT,8/16/2021,8:29,CLR,0.17,23.8,2.07,1051,1026,7.46,Flood,1,2,35.7,only dipped 0.5 m because of depth,
NDFS,I80,8/16/2021,9:33,CLR,0.68,22.5,0.61,987,939,7.23,Flood,1,2,11.6,,
Shared,LIS,8/16/2021,10:50,CLR,0.42,25.4,7.67,290,292,7.92,Flood,2,1,13.8,,
Shared,STTD,8/17/2021,10:47,CLD,0.77,22.8,7.72,229,219,8.29,Flood,1,1,10.4,"van dorn was broken, plunger closed by hand",
NDFS,BL5,8/17/2021,10:09,CLR,1.08,21.8,7.33,216,203,8.27,Flood,1,1,7.3,"van dorn snapped, water collected by closing plunger manually",
NDFS,PRS,8/17/2021,9:30,CLR,0.95,21.6,7.4,212,198,8.09,Flood,1,1,7.1,,
NDFS,LIB,8/17/2021,9:06,CLR,1.8,21.8,7.7,204,192,7.79,Flood,1,1,3.6,,
NDFS,RYI,8/17/2021,8:37,CLR,1.73,22.4,7.91,205,194,7.96,Flood,1,1,4.8,site = RYI,
NDFS,RVB,8/17/2021,7:50,CLR,1.35,22.9,7.97,226,217,7.79,Flood,2,1,6.1,,
Shared,SHR,8/17/2021,7:55,CLD,1.7,23.4,8.97,148,143,7.8,Ebb,1,1,3.8,,
NDFS,RMB,8/30/2021,9:49,CLR,0.27,24,4.54,666,653,7.59,Flood,1,2,26.4,accidentally opened USGS bottle slightly before immersing,
NDFS,WWT,8/30/2021,8:49,CLR,NA,22.9,1.98,882,847,7.12,Flood,1,3,7.1,could not take secchi. Lots of veg. could not take water at 1m,
NDFS,RD22,8/30/2021,7:10,CLR,0.49,22.2,8.2,762,721,7.63,Flood,1,2,12.6,lots of primrose and duckweed at site. Had to shift under overpass,
NDFS,DWT,8/30/2021,8:03,CLR,0.14,24.2,3.96,1135,1118,8.08,Flood,1,2,47.8,,
NDFS,I80,8/30/2021,8:40,CLR,0.55,22.2,0.18,931,882,7.29,Flood,1,3,5.3,had to move veg to take water samples,
Shared,LIS,8/30/2021,9:45,CLR,0.29,23,7.33,340,327,7.7,Flood,2,1,22.2,,
Shared,STTD,8/31/2021,11:06,CLR,0.56,23.1,7.74,234,226,8.18,Flood,1,1,13.2,,
NDFS,BL5,8/31/2021,10:16,CLR,1.51,22.1,7.98,219,207,8.42,Flood,1,1,5.3,,
NDFS,PRS,8/31/2021,10:01,CLR,1.49,22.1,8.34,214,202,8.71,Flood,1,1,5,,
NDFS,LIB,8/31/2021,9:21,CLR,1.8,22.2,8.67,211,200,8.48,Flood,1,2,4.7,,
NDFS,RYI,8/31/2021,8:43,CLR,1.8,22.3,8.83,212,202,8.11,Flood,1,1,4.9,,
NDFS,RVB,8/31/2021,7:59,CLR,1.8,22.7,8.63,214,204,7.96,Flood,1,1,4.3,One (_____),
Shared,SHR,8/31/2021,8:06,CLR,2.1,22.8,8.14,190,182,7.59,Ebb,1,1,3.4,,
NDFS,RMB,9/13/2021,10:05,CLR,0.28,24.9,4.15,664,663,7.63,Flood,1,1,23.5,,
NDFS,WWT,9/13/2021,9:00,CLR,0.25,22.6,2.06,1106,1055,7.31,Flood,1,3,15.1,,
NDFS,RD22,9/13/2021,7:25,CLD,0.53,22.9,3.49,876,841,7.58,Ebb,1,3,16.8,,
NDFS,DWT,9/13/2021,8:05,CLR,0.15,24,2.07,1030,1011,7.54,slack,1,2,50.2,,
NDFS,I80,9/13/2021,8:45,CLR,0.63,22,0.3,951,896,7.37,NA,1,3,13.8,"Lots of SAV, EAV",
NDFS,LIS,9/13/2021,9:46,CLR,0.49,23.5,3.01,416,404,7.33,Flood,1,2,14.2,,
NDFS,STTD,9/14/2021,11:34,CLR,0.55,23.8,7.11,257,251,8.11,Flood,2,2,15.4,towed downstream,
NDFS,BL5,9/14/2021,10:30,CLR,1.57,21.9,8.93,226,217,8.57,Flood,2,2,5.7,,
NDFS,PRS,9/14/2021,9:59,CLR,1.33,22.9,8.2,223,214,8.33,Flood,2,2,6.6,,
NDFS,LIB,9/14/2021,9:31,CLR,1.7,23,8.22,222,214,8.29,Flood,1,2,5.1,,
NDFS,RYI,9/14/2021,8:52,CLR,1.8,19.8,9.1,200,212,7.15,Flood,2,2,6.4,,
NDFS,RVB,9/14/2021,8:05,CLR,1.8,23.4,8.01,218,211,8.01,Flood,1,1,3.8,,
NDFS,SHR,9/14/2021,7:51,CLR,2.1,23.3,7.87,188,182,7.71,Ebb,1,2,3.5,,
