MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:46,ES1021B0260,RMB,1,63,3,4.76%,0.0683,314.159,1.4343,21,73.01,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,2,2,18.6,,,i,BSA.YOLO-05,CB,High sediment and detritus.,gomphonemoid,114.98,,,,,,,,,,Width,6.2,4.6,7.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.1,2.3,1.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,14.3,9.9,18.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,7.1,4.9,9.2,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:46,ES1021B0260,RMB,1,63,3,4.76%,0.0683,314.159,1.4343,21,73.01,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,53.7,,,i,BSA.YOLO-05,CB,High sediment and detritus.,prism on parallelogram,126.89,,,,,,,,,,Length,36.1,18.5,53.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:46,ES1021B0260,RMB,1,63,3,4.76%,0.0683,314.159,1.4343,21,73.01,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,388,776,0.8,0.8,0.8,c,BSA.YOLO-05,CB,High sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/11/2021,9:46,ES1021B0260,RMB,1,63,3,4.76%,0.0683,314.159,1.4343,21,73.01,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,3,36,2,,,i,BSA.YOLO-05,CB,High sediment and detritus.,cylinder,1.57,,,,,,,,,,Length,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:46,ES1021B0260,RMB,1,63,3,4.76%,0.0683,314.159,1.4343,21,73.01,1561,Phacus sp. ,Soft Body,Phacus,sp.,,2,2,44.4,,,i,BSA.YOLO-05,CB,High sediment and detritus.,elliptic prism,11457.43,,,,,,,,,,Length,29.6,14.8,44.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,22.2,11.1,33.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,22.2,11.1,33.3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,8:48,ES1021B0269,LIB,1,61,5,8.20%,0.0683,314.159,1.0245,15,61.33,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,19,,,i,BSA.YOLO-06,AB,Low detritus.,elliptic prism,573.64,,,,,,,,,,Length,18.8,19,18.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,12,10.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.5,4,3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,8:48,ES1021B0269,LIB,1,61,5,8.20%,0.0683,314.159,1.0245,15,61.33,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,4,,,i,BSA.YOLO-06,AB,Low detritus.,sphere,15.6,,,,,,,,,,Length,3.1,2.2,4,3,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,8:48,ES1021B0269,LIB,1,61,5,8.20%,0.0683,314.159,1.0245,15,61.33,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,8,,,i,BSA.YOLO-06,AB,Low detritus.,cone + half sphere,201.06,,,,,,,,,,Length,8,8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4,4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,8:48,ES1021B0269,LIB,1,61,5,8.20%,0.0683,314.159,1.0245,15,61.33,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,404,808,0.8,0.8,0.8,c,BSA.YOLO-06,AB,Low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/12/2021,9:28,ES1021B0268,PRS,1,61,5,8.20%,0.0683,314.159,1.5026,22,41.82,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,3,3,24.1,,,i,BSA.YOLO-07,CB,,elliptic prism,1153.59,,,,,,,,,,Length,20.4,18.5,24.1,18.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,12,11.1,13,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,6,5.5,6.5,6,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,9:28,ES1021B0268,PRS,1,61,5,8.20%,0.0683,314.159,1.5026,22,41.82,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,16.7,,,i,BSA.YOLO-07,CB,,cylinder,1818.03,,,,,,,,,,Length,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,9:28,ES1021B0268,PRS,1,61,5,8.20%,0.0683,314.159,1.5026,22,41.82,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,1,24.8,,,i,BSA.YOLO-07,CB,,gomphonemoid,418.31,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,24.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,12.2,12.2,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,9:28,ES1021B0268,PRS,1,61,5,8.20%,0.0683,314.159,1.5026,22,41.82,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,25.9,,,i,BSA.YOLO-07,CB,,prism on parallelogram,91.04,,,,,,,,,,Length,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,9:28,ES1021B0268,PRS,1,61,5,8.20%,0.0683,314.159,1.5026,22,41.82,893,Sellaphora sp.,Diatom,Sellaphora,sp.,,1,1,13,,,i,BSA.YOLO-07,CB,,box,203.84,,,,,,,,,,Length,13,13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,9:28,ES1021B0268,PRS,1,61,5,8.20%,0.0683,314.159,1.5026,22,41.82,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,3.7,,,i,BSA.YOLO-07,CB,,sphere,26.52,,,,,,,,,,Length,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,9:28,ES1021B0268,PRS,1,61,5,8.20%,0.0683,314.159,1.5026,22,41.82,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,405,810,0.8,0.8,0.8,c,BSA.YOLO-07,CB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/12/2021,11:07,ES1021B0266,STTD,1,62,5,8.06%,0.0683,314.159,1.8441,27,34.07,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,27.5,,,i,BSA.YOLO-08,AB,Low sediment.,elliptic prism,1598.28,,,,,,,,,,Length,27.5,27.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,4,4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,11:07,ES1021B0266,STTD,1,62,5,8.06%,0.0683,314.159,1.8441,27,34.07,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,27.8,,,i,BSA.YOLO-08,AB,Low sediment.,prism on parallelogram,36.03,,,,,,,,,,Length,24.1,20.4,27.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.3,2,2.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.3,1,1.5,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,11:07,ES1021B0266,STTD,1,62,5,8.06%,0.0683,314.159,1.8441,27,34.07,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,2,2,3.5,,,i,BSA.YOLO-08,AB,Low sediment.,sphere,18.82,,,,,,,,,,Length,3.3,3,3.5,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,11:07,ES1021B0266,STTD,1,62,5,8.06%,0.0683,314.159,1.8441,27,34.07,1402,cf. Aphanocapsa sp.,Soft Body,Aphanocapsa,sp.,,1,10,0.8,,,c,BSA.YOLO-08,AB,Low sediment.,sphere,0.27,,,,,,,,,,Length,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,11:07,ES1021B0266,STTD,1,62,5,8.06%,0.0683,314.159,1.8441,27,34.07,1421,Chroococcus minutus,Soft Body,Chroococcus,minutus,,1,4,0.9,,,c,BSA.YOLO-08,AB,Low sediment.,sphere,0.38,,,,,,,,,,Length,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,11:07,ES1021B0266,STTD,1,62,5,8.06%,0.0683,314.159,1.8441,27,34.07,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,397,794,0.8,0.8,0.8,c,BSA.YOLO-08,AB,Low sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/12/2021,11:07,ES1021B0266,STTD,1,62,5,8.06%,0.0683,314.159,1.8441,27,34.07,1709,cf. Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,1,31,2.2,,,f,BSA.YOLO-08,AB,Low sediment.,cylinder,1.73,,,,,,,,,,Length,2.2,2.2,2.2,2.2,2.2,2.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
