MethodCode,SampleDate,SampleTime,StationCode,Depth_m,Volume-Received_mL,Volume_Analyzed_mL,Percent_of_Sample_Counted,Field-of-view_mm²,Slide_Chamber_Area_mm²,Area_Counted,Number_of_Fields_Counted,Factor,BSA_TIN,Taxon,Diatom_SoftBody,Genus,Species,Synonym,Unit_Abundance,Number_of_cells_per_unit,GALD1,GALD2,GALD3,Colony_Filament_Individual_Group_Code,BSA#,Taxonomist,Comments,Shape,Biovolume1,Biovolume2,Biovolume3,Biovolume4,Biovolume5,Biovolume6,Biovolume7,Biovolume8,Biovolume9,Biovolume10,Dimension,Measurement_average,Measurement1,Measurement2,Measurement3,Measurement4,Measurement5,Measurement6,Measurement7,Measurement8,Measurement9,Measurement10,Measurement11,Measurement12,Measurement13,Measurement14,Measurement15,Measurement16,Measurement17,Measurement18,Measurement19,Measurement20,Measurement21,Measurement22,Measurement23,Measurement24,Measurement25
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,730,Nitzschia palea,Diatom,Nitzschia,palea,,2,2,31.5,,,i,BSA.YOLO-29,LA,,prism on parallelogram,171.72,,,,,,,,,,Length,26.5,25.9,22.2,31.5,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1683,Chlamydomonas mirabilis,Soft Body,Chlamydomonas,mirabilis,,1,1,11.1,,,i,BSA.YOLO-29,LA,,sphere,318.26,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,3,3,6.3,,,i,BSA.YOLO-29,LA,,sphere,77.95,,,,,,,,,,Length,5.3,4.0,5.6,6.3,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1970,Chlorococcum minutum,Soft Body,Chlorococcum,minutum,,3,3,6.3,,,i,BSA.YOLO-29,LA,,sphere,124.79,,,,,,,,,,Length,6.2,6.3,6.3,6.0,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,5.6,,,i,BSA.YOLO-29,LA,,ellipsoid,22.99,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,2,2,29.6,,,i,BSA.YOLO-29,LA,,2 cones,30.98,,,,,,,,,,Length,26.3,29.6,23.0,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1136,Monoraphidium griffithii,Soft Body,Monoraphidium,griffithii,,1,1,37,,,i,BSA.YOLO-29,LA,,2 cones,77.49,,,,,,,,,,Length,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,9,9,9,,,i,BSA.YOLO-29,LA,,2 cones,12.06,,,,,,,,,,Length,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1156,Oocystis borgei,Soft Body,Oocystis,borgei,,1,4,11.1,,,c,BSA.YOLO-29,LA,,prolate spheroid,400.38,,,,,,,,,,Length,11.1,11.1,11.1,11.1,11.1,,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1423,Chroococcus sp.,Soft Body,Chroococcus,sp.,,34,36,5.6,,,c,BSA.YOLO-29,LA,,sphere,65.45,,,,,,,,,,Length,5.0,5.6,5.6,4.0,4.0,5.6,,,,,,,,,,,,,,,,,,,,
Phyto,7/14/2020,8:45,I80,,60.0,1,1.67%,0.0683,314.159,1.1611,17,270.57,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,336,672,0.8,0.8,0.8,c,BSA.YOLO-29,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
