StationCode,DateTime,Analyte,Result,Units,Method,Depth,Purpose,Analyte.Unit,Sampling.Date,Sampling.Time,Region,date,WaterTemperature,SecchiDiskDepth,EC,SpCnd,pH,DO,Turbidity
RCS,8/6/2019 11:57,DisCalcium,36.6,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisCalcium (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DisCalcium,37.2,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisCalcium (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,TSS,54,mg/L,EPA 160.2 [1]*,1,Normal Sample,TSS (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,TDS,332,mg/L,Std Method 2540 C [1]*,1,Normal Sample,TDS (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RCS,8/6/2019 11:57,DisAmmonia,NA,mg/L as N,EPA 350.1 [1]*,1,Normal Sample,DisAmmonia (mg/L as N),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.9,0.24,599,578,7.74,4.48,67.3
RD22,8/6/2019 2:10,DON,0.55,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Duplicate Sample,DON (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,DON,0.59,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Normal Sample,DON (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,TKN,0.839,mg/L as N,EPA 351.2 [1]*,1,Duplicate Sample,TKN (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,TKN,0.851,mg/L as N,EPA 351.2 [1]*,1,Duplicate Sample,TKN (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,TKN,0.901,mg/L as N,EPA 351.2 [1]*,1,Normal Sample,TKN (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,DOP,1.15,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample,DOP (mg/L as P),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,DOP,1.19,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Duplicate Sample,DOP (mg/L as P),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,TOP,1.21,mg/L as P,EPA 365.4 [1]*,1,Duplicate Sample,TOP (mg/L as P),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,TOP,1.24,mg/L as P,EPA 365.4 [1]*,1,Normal Sample,TOP (mg/L as P),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,TOP,1.24,mg/L as P,EPA 365.4 [1]*,1,Duplicate Sample,TOP (mg/L as P),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,DisNitrateNitrite,2.83,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Duplicate Sample,DisNitrateNitrite (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,DisNitrateNitrite,3.02,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Normal Sample,DisNitrateNitrite (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,VSS,4,mg/L,EPA 160.4 [1]*,1,Duplicate Sample,VSS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,VSS,4,mg/L,EPA 160.4 [1]*,1,Duplicate Sample,VSS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,TOC,4.5,mg/L as C,EPA 415.3 (T) [PS-3]*,1,Normal Sample,TOC (mg/L as C),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,DOC,4.9,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,DOC,5,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Duplicate Sample,DOC (mg/L as C),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,TOC,5.1,mg/L as C,EPA 415.3 (T) [PS-3]*,1,Duplicate Sample,TOC (mg/L as C),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,VSS,7,mg/L,EPA 160.4 [1]*,1,Normal Sample,VSS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,DisSilica,17.5,mg/L,EPA 200.7 (D) [1]*,1,Duplicate Sample,DisSilica (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,DisSilica,18.2,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisSilica (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,TSS,33,mg/L,EPA 160.2 [1]*,1,Duplicate Sample,TSS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,DisCalcium,34.1,mg/L,EPA 200.7 (D) [1]*,1,Duplicate Sample,DisCalcium (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,TSS,36,mg/L,EPA 160.2 [1]*,1,Duplicate Sample,TSS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,DisCalcium,36.5,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisCalcium (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,TSS,40,mg/L,EPA 160.2 [1]*,1,Normal Sample,TSS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,DisChloride,76.8,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample,DisChloride (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,DisChloride,76.8,mg/L,EPA 300.0 28d Hold [1]*,1,Duplicate Sample,DisChloride (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,TDS,77,mg/L,Std Method 2540 C [1]*,1,Duplicate Sample,TDS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,TDS,433,mg/L,Std Method 2540 C [1]*,1,Normal Sample,TDS (mg/L),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 1:50,DisAmmonia,NA,mg/L as N,EPA 350.1 [1]*,1,Normal Sample,DisAmmonia (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019 2:10,DisAmmonia,NA,mg/L as N,EPA 350.1 [1]*,1,Duplicate Sample,DisAmmonia (mg/L as N),7-Aug,Before,Central Yolo Bypass,8/6/2019,25.7,0.21,791,782,8.13,6.18,47.7
RMB,8/6/2019 10:14,DOP,0.112,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample,DOP (mg/L as P),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,TOP,0.202,mg/L as P,EPA 365.4 [1]*,1,Normal Sample,TOP (mg/L as P),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,DON,0.53,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Normal Sample,DON (mg/L as N),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,TKS,0.729,mg/L as N,EPA 351.2 [1]*,1,Normal Sample,TKS (mg/L as N),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,VSS,6,mg/L,EPA 160.4 [1]*,1,Normal Sample,VSS (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,DOC,6.4,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,TOC,6.5,mg/L as C,EPA 415.3 (T) [PS-3]*,1,Normal Sample,TOC (mg/L as C),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,DisChloride,14.4,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample,DisChloride (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,DisCalcium,35.7,mg/L,EPA 200.7 (D) [1]*,1,Normal Sample,DisCalcium (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,TSS,62,mg/L,EPA 160.2 [1]*,1,Normal Sample,TSS (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,TDS,329,mg/L,Std Method 2540 C [1]*,1,Normal Sample,TDS (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,TDS,330,mg/L,Std Method 2540 C [1]*,1,Normal Sample,TDS (mg/L),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
RMB,8/6/2019 10:14,DisAmmonia,NA,mg/L as N,EPA 350.1 [1]*,1,Normal Sample,DisAmmonia (mg/L as N),7-Aug,Before,Colusa Drain/Ridge Cut,8/6/2019,26.6,0.23,588,571,7.64,4.48,28.4
BL5,8/7/2019 11:59,DisAmmonia,0.063,mg/L as N,EPA 350.1 [1]*,1,Normal Sample,DisAmmonia (mg/L as N),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,DisNitrateNitrite,0.112,mg/L as N,Std Method 4500-NO3-F (28Day) [1]*,1,Normal Sample,DisNitrateNitrite (mg/L as N),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,DOP,0.115,mg/L as P,EPA 365.1 (DWR Modified) [1]*,1,Normal Sample,DOP (mg/L as P),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,TOP,0.117,mg/L as P,EPA 365.4 [1]*,1,Normal Sample,TOP (mg/L as P),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,DON,0.13,mg/L as N,EPA 351.2/EPA 350.1 (Dissolved [1]*,1,Normal Sample,DON (mg/L as N),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,TKN,0.243,mg/L as N,EPA 351.2 [1]*,1,Normal Sample,TKN (mg/L as N),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,TOC,2.3,mg/L as C,EPA 415.3 (T) [PS-3]*,1,Normal Sample,TOC (mg/L as C),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,DOC,2.4,mg/L as C,EPA 415.3 (D) [PS-3]*,1,Normal Sample,DOC (mg/L as C),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,TSS,4,mg/L,EPA 160.2 [1]*,1,Normal Sample,TSS (mg/L),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
BL5,8/7/2019 11:59,DisChloride,6.12,mg/L,EPA 300.0 28d Hold [1]*,1,Normal Sample,DisChloride (mg/L),7-Aug,Before,Cache Slough Complex,8/7/2019,23,0.9,144,149,7.84,7.86,7.3
