Date,Year,Month,DateTime,Time,StationCode,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,FlowMeterSpeed,StartMeter,EndMeter,VolMeso,SubMeso,VolMicro,SubMicro,Subsample,OrganismID,Classification,Organism,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,TaxonName,TaxonRank,CommonName,LifeStage,Count,CPUEZoop,WYType,FlowPulseType,NetFlowDays,SamplePeriod
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,46,Harpacticoids,Harpacticoids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Harpacticoida,Order,Harpacticoid,NA,1,0.931075181,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,3,Microzooplankton_Nauplii,Copepod nauplii,Arthropoda,Crustacea,Hexanauplia,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepoda,Subclass,Copepod,nauplius,3,0.46553759,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,6,Microzooplankton_Nauplii,Ostracods,Arthropoda,Crustacea,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ostracoda,Class,Ostracod,NA,48,7.448601447,W,MA-Ag,26,Before
8/7/2019,2019,8,8/7/2019 11:59,11:59:00,BL5,23,0.9,144,149,7.84,7.86,7.3,Low,982387,986000,38,1,38,6,1,1,Microzooplankton_Nauplii,Rotifers,Rotifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rotifera,Phylum,Rotifer,NA,176,27.31153864,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,64,Calanoids,Calanoid copepodids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,Order,Calanoid,copepodid,176,750.9745936,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,23,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Species,Pseudodiaptomus forbesi,adult,4,17.0676044,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,43,Cladocera,Alona,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Alona,NA,Alona sp.,Genus,Alona sp.,NA,1,4.2669011,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,35,Cladocera,Bosmina,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Bosminidae,Bosmina,longirostris,Bosmina longirostris,Species,Bosmina longirostris,NA,6,25.6014066,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,39,Cladocera,Camptocercus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Eurycercidae,Camptocercus,NA,Camptocercus sp.,Genus,Camptocercus sp.,NA,15,64.0035165,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,1,4.2669011,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,38,Cladocera,Chydorus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Chydorus,NA,Chydorus sp.,Genus,Chydorus sp.,NA,17,72.5373187,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,41,Cladocera,Diaphanosoma,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Ctenopoda,NA,Sididae,Diaphanosoma,NA,Diaphanosoma sp.,Genus,Diaphanosoma sp.,NA,6,25.6014066,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,86,Cladocera,Kurzia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Kurzia,NA,Kurzia sp.,Genus,Kurzia sp.,NA,1,4.2669011,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,10,Cyclopoids,Acanthocyclops vernalis adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,Acanthocyclops vernalis,adult,2,8.5338022,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,8,Cyclopoids,Cyclopoid copepodid,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Cyclopoida,Order,Cyclopoid,copepodid,4,17.0676044,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,104,Cyclopoids,Mesocyclops edax,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Mesocyclops,edax,Mesocyclops edax,Species,Mesocyclops edax,NA,1,4.2669011,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,84,Cyclopoids,Microcyclops rubellus,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Microcyclops,rubellus,Microcyclops rubellus,Species,Microcyclops rubellus,NA,1,4.2669011,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,3,Microzooplankton_Nauplii,Copepod nauplii,Arthropoda,Crustacea,Hexanauplia,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepoda,Subclass,Copepod,nauplius,46,31.4043921,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,6,Microzooplankton_Nauplii,Ostracods,Arthropoda,Crustacea,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ostracoda,Class,Ostracod,NA,52,35.50061715,W,MA-Ag,26,Before
8/21/2019,2019,8,8/21/2019 11:35,11:35:00,BL5,21.6,1.1,148,158,8.24,8.09,8.5,Low,935973,939500,68,0.4,68,2.5,1,1,Microzooplankton_Nauplii,Rotifers,Rotifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rotifera,Phylum,Rotifer,NA,143,97.62669717,W,MA-Ag,26,Before
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,64,Calanoids,Calanoid copepodids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,Order,Calanoid,copepodid,179,1122.951332,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,23,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Species,Pseudodiaptomus forbesi,adult,17,106.6490092,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,35,Cladocera,Bosmina,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Bosminidae,Bosmina,longirostris,Bosmina longirostris,Species,Bosmina longirostris,NA,3,18.82041338,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,39,Cladocera,Camptocercus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Eurycercidae,Camptocercus,NA,Camptocercus sp.,Genus,Camptocercus sp.,NA,2,12.54694225,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,4,25.09388451,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,38,Cladocera,Chydorus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Chydorus,NA,Chydorus sp.,Genus,Chydorus sp.,NA,1,6.273471127,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,41,Cladocera,Diaphanosoma,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Ctenopoda,NA,Sididae,Diaphanosoma,NA,Diaphanosoma sp.,Genus,Diaphanosoma sp.,NA,6,37.64082676,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,8,Cyclopoids,Cyclopoid copepodid,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Cyclopoida,Order,Cyclopoid,copepodid,1,6.273471127,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,3,Microzooplankton_Nauplii,Copepod nauplii,Arthropoda,Crustacea,Hexanauplia,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepoda,Subclass,Copepod,nauplius,42,8.107254994,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,6,Microzooplankton_Nauplii,Ostracods,Arthropoda,Crustacea,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ostracoda,Class,Ostracod,NA,89,17.17965939,W,MA-Ag,26,During
9/4/2019,2019,9,9/4/2019 11:23,11:23:00,BL5,22.8,1.4,215,225,8.04,7.55,4.9,Low,845225,848400,45,0.2,45,6.5,1,1,Microzooplankton_Nauplii,Rotifers,Rotifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rotifera,Phylum,Rotifer,NA,172,33.2011395,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,64,Calanoids,Calanoid copepodids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,Order,Calanoid,copepodid,110,424.7352243,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,23,Calanoids,Pseudodiaptomus forbesi adult,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Species,Pseudodiaptomus forbesi,adult,18,69.50212762,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,43,Cladocera,Alona,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Alona,NA,Alona sp.,Genus,Alona sp.,NA,2,7.722458625,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,35,Cladocera,Bosmina,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Bosminidae,Bosmina,longirostris,Bosmina longirostris,Species,Bosmina longirostris,NA,3,11.58368794,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,39,Cladocera,Camptocercus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Eurycercidae,Camptocercus,NA,Camptocercus sp.,Genus,Camptocercus sp.,NA,10,38.61229312,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,36,Cladocera,Ceriodaphnia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,Ceriodaphnia sp.,NA,12,46.33475175,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,38,Cladocera,Chydorus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Chydorus,NA,Chydorus sp.,Genus,Chydorus sp.,NA,1,3.861229312,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,41,Cladocera,Diaphanosoma,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Ctenopoda,NA,Sididae,Diaphanosoma,NA,Diaphanosoma sp.,Genus,Diaphanosoma sp.,NA,19,73.36335693,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,94,Cladocera,Graptoleberis,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Graptoleberis,NA,Graptoleberis sp.,Genus,Graptoleberis sp.,NA,4,15.44491725,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,44,Cladocera,Ilyocryptus,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Ilyocryptidae,Ilyocryptus,NA,Ilyocryptus sp.,Genus,Ilyocryptus sp.,NA,2,7.722458625,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,8,Cyclopoids,Cyclopoid copepodid,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Cyclopoida,Order,Cyclopoid,copepodid,12,46.33475175,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,106,Cyclopoids,Eucyclops pectinifer,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Eucyclops,pectinifer,Eucyclops pectinifer,Species,Eucyclops pectinifer,NA,1,3.861229312,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,125,Cyclopoids,Macrocyclops albidus,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Macrocyclops,albidus,Macrocyclops albidus,Species,Macrocyclops albidus,NA,4,15.44491725,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,84,Cyclopoids,Microcyclops rubellus,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Microcyclops,rubellus,Microcyclops rubellus,Species,Microcyclops rubellus,NA,2,7.722458625,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,116,Cyclopoids,Paracyclops chiltoni,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Paracyclops,chiltoni,Paracyclops chiltoni,Species,Paracyclops chiltoni,NA,1,3.861229312,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,119,Cyclopoids,Paracyclops fimbriatus,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Paracyclops,fimbriatus,Paracyclops fimbriatus,Species,Paracyclops fimbriatus,NA,1,3.861229312,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,46,Harpacticoids,Harpacticoids,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Harpacticoida,Order,Harpacticoid,NA,1,3.861229312,W,MA-Ag,26,During
9/18/2019,2019,9,9/18/2019 10:57,10:57:00,BL5,20.6,1.1,286,312,8.13,7.81,8.7,Low,801233,804410,97,0.7,97,0.7,1,3,Microzooplankton_Nauplii,Copepod nauplii,Arthropoda,Crustacea,Hexanauplia,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepoda,Subclass,Copepod,nauplius,2,7.722458625,W,MA-Ag,26,During
