"","X","Station.Code","Date","Time","Classification","Organism","Count","Subsample","VolMeso","SubMeso","VolMicro","SubMicro","StartMeter","EndMeter","FlowMeterSpeed","CPUE"
"53",53,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Graptoleberis",1,1,68,0.6,68,0.7,797495,801224,"Low",2.69050865830668
"58",58,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Moina",2,1,68,0.6,68,0.7,797495,801224,"Low",5.38101731661335
"65",65,"BL5-DUP","2019-09-18","11:23:00","Cladocera","Simocephalus",1,1,68,0.6,68,0.7,797495,801224,"Low",2.69050865830668
"83",83,"BL5","2019-08-07","11:59:00","Microzooplankton_Nauplii","Rotifers",176,1,38,1,38,6,982387,986000,"Low",27.3115386391827
"84",84,"BL5","2019-08-07","11:59:00","Microzooplankton_Nauplii","Copepod nauplii",3,1,38,1,38,6,982387,986000,"Low",0.465537590440614
"85",85,"BL5","2019-08-07","11:59:00","Microzooplankton_Nauplii","Ostracods",48,1,38,1,38,6,982387,986000,"Low",7.44860144704982
"90",90,"BL5","2019-08-07","11:59:00","Cyclopoids","Cyclopoid copepodid",5,1,38,1,38,6,982387,986000,"Low",4.65537590440614
"99",99,"BL5","2019-08-07","11:59:00","Cyclopoids","Microcyclops rubellus",1,1,38,1,38,6,982387,986000,"Low",0.931075180881228
"110",110,"BL5","2019-08-07","11:59:00","Calanoids","Calanoid copepodid",230,1,38,1,38,6,982387,986000,"Low",214.147291602682
"117",117,"BL5","2019-08-07","11:59:00","Calanoids","Pseudodiaptomus forbesi adult",3,1,38,1,38,6,982387,986000,"Low",2.79322554264368
"120",120,"BL5","2019-08-07","11:59:00","Calanoids","Sinocalanus doerrii copepodid",3,1,38,1,38,6,982387,986000,"Low",2.79322554264368
"124",124,"BL5","2019-08-07","11:59:00","Cladocera","Alona",2,1,38,1,38,6,982387,986000,"Low",1.86215036176246
"127",127,"BL5","2019-08-07","11:59:00","Cladocera","Bosmina",1,1,38,1,38,6,982387,986000,"Low",0.931075180881228
"128",128,"BL5","2019-08-07","11:59:00","Cladocera","Camptocercus",5,1,38,1,38,6,982387,986000,"Low",4.65537590440614
"130",130,"BL5","2019-08-07","11:59:00","Cladocera","Chydorus",7,1,38,1,38,6,982387,986000,"Low",6.5175262661686
"132",132,"BL5","2019-08-07","11:59:00","Cladocera","Diaphanosoma",1,1,38,1,38,6,982387,986000,"Low",0.931075180881228
"134",134,"BL5","2019-08-07","11:59:00","Cladocera","Eurycercus",1,1,38,1,38,6,982387,986000,"Low",0.931075180881228
"136",136,"BL5","2019-08-07","11:59:00","Cladocera","Ilyocryptus",1,1,38,1,38,6,982387,986000,"Low",0.931075180881228
"142",142,"BL5","2019-08-07","11:59:00","Cladocera","Picripleuroxus",1,1,38,1,38,6,982387,986000,"Low",0.931075180881228
"148",148,"BL5","2019-08-07","11:59:00","Harpacticoids","Harpacticoids",1,1,38,1,38,6,982387,986000,"Low",0.931075180881228
"165",165,"BL5","2019-08-21","11:35:00","Microzooplankton_Nauplii","Rotifers",143,1,68,0.4,68,2.5,935973,939500,"Low",97.6266971714926
"166",166,"BL5","2019-08-21","11:35:00","Microzooplankton_Nauplii","Copepod nauplii",46,1,68,0.4,68,2.5,935973,939500,"Low",31.4043920971235
"167",167,"BL5","2019-08-21","11:35:00","Microzooplankton_Nauplii","Ostracods",52,1,68,0.4,68,2.5,935973,939500,"Low",35.50061715327
"169",169,"BL5","2019-08-21","11:35:00","Cyclopoids","Acanthocyclops vernalis adult",2,1,68,0.4,68,2.5,935973,939500,"Low",8.5338022003053
"172",172,"BL5","2019-08-21","11:35:00","Cyclopoids","Cyclopoid copepodid",4,1,68,0.4,68,2.5,935973,939500,"Low",17.0676044006106
"180",180,"BL5","2019-08-21","11:35:00","Cyclopoids","Mesocyclops edax",1,1,68,0.4,68,2.5,935973,939500,"Low",4.26690110015265
"181",181,"BL5","2019-08-21","11:35:00","Cyclopoids","Microcyclops rubellus",1,1,68,0.4,68,2.5,935973,939500,"Low",4.26690110015265
"192",192,"BL5","2019-08-21","11:35:00","Calanoids","Calanoid copepodid",176,1,68,0.4,68,2.5,935973,939500,"Low",750.974593626867
"199",199,"BL5","2019-08-21","11:35:00","Calanoids","Pseudodiaptomus forbesi adult",4,1,68,0.4,68,2.5,935973,939500,"Low",17.0676044006106
"206",206,"BL5","2019-08-21","11:35:00","Cladocera","Alona",1,1,68,0.4,68,2.5,935973,939500,"Low",4.26690110015265
"209",209,"BL5","2019-08-21","11:35:00","Cladocera","Bosmina",6,1,68,0.4,68,2.5,935973,939500,"Low",25.6014066009159
"210",210,"BL5","2019-08-21","11:35:00","Cladocera","Camptocercus",15,1,68,0.4,68,2.5,935973,939500,"Low",64.0035165022898
"211",211,"BL5","2019-08-21","11:35:00","Cladocera","Ceriodaphnia",1,1,68,0.4,68,2.5,935973,939500,"Low",4.26690110015265
"212",212,"BL5","2019-08-21","11:35:00","Cladocera","Chydorus",17,1,68,0.4,68,2.5,935973,939500,"Low",72.5373187025951
"214",214,"BL5","2019-08-21","11:35:00","Cladocera","Diaphanosoma",6,1,68,0.4,68,2.5,935973,939500,"Low",25.6014066009159
"219",219,"BL5","2019-08-21","11:35:00","Cladocera","Kurzia",1,1,68,0.4,68,2.5,935973,939500,"Low",4.26690110015265
"247",247,"BL5","2019-09-04","11:23:00","Microzooplankton_Nauplii","Rotifers",172,1,45,0.2,45,6.5,845225,848400,"Low",33.2011395004939
"248",248,"BL5","2019-09-04","11:23:00","Microzooplankton_Nauplii","Copepod nauplii",42,1,45,0.2,45,6.5,845225,848400,"Low",8.10725499430665
"249",249,"BL5","2019-09-04","11:23:00","Microzooplankton_Nauplii","Ostracods",89,1,45,0.2,45,6.5,845225,848400,"Low",17.1796593926974
"253",253,"BL5","2019-09-04","11:23:00","Cyclopoids","Cyclopoid copepodid",1,1,45,0.2,45,6.5,845225,848400,"Low",6.27347112654681
"273",273,"BL5","2019-09-04","11:23:00","Calanoids","Calanoid copepodid",179,1,45,0.2,45,6.5,845225,848400,"Low",1122.95133165188
"281",281,"BL5","2019-09-04","11:23:00","Calanoids","Pseudodiaptomus forbesi adult",17,1,45,0.2,45,6.5,845225,848400,"Low",106.649009151296
"290",290,"BL5","2019-09-04","11:23:00","Cladocera","Bosmina",3,1,45,0.2,45,6.5,845225,848400,"Low",18.8204133796404
"291",291,"BL5","2019-09-04","11:23:00","Cladocera","Camptocercus",2,1,45,0.2,45,6.5,845225,848400,"Low",12.5469422530936
"292",292,"BL5","2019-09-04","11:23:00","Cladocera","Ceriodaphnia",4,1,45,0.2,45,6.5,845225,848400,"Low",25.0938845061872
"293",293,"BL5","2019-09-04","11:23:00","Cladocera","Chydorus",1,1,45,0.2,45,6.5,845225,848400,"Low",6.27347112654681
"295",295,"BL5","2019-09-04","11:23:00","Cladocera","Diaphanosoma",6,1,45,0.2,45,6.5,845225,848400,"Low",37.6408267592809
"327",327,"BL5","2019-09-18","10:57:00","Microzooplankton_Nauplii","Rotifers",344,1,97,0.7,97,0.7,801233,804410,"Low",1328.26288341942
"328",328,"BL5","2019-09-18","10:57:00","Microzooplankton_Nauplii","Copepod nauplii",2,1,97,0.7,97,0.7,801233,804410,"Low",7.72245862453149
"329",329,"BL5","2019-09-18","10:57:00","Microzooplankton_Nauplii","Ostracods",11,1,97,0.7,97,0.7,801233,804410,"Low",42.4735224349232
"333",333,"BL5","2019-09-18","10:57:00","Cyclopoids","Cyclopoid copepodid",12,1,97,0.7,97,0.7,801233,804410,"Low",46.334751747189
"337",337,"BL5","2019-09-18","10:57:00","Cyclopoids","Eucyclops pectinifer",1,1,97,0.7,97,0.7,801233,804410,"Low",3.86122931226575
"343",343,"BL5","2019-09-18","10:57:00","Cyclopoids","Macrocyclops albidus",4,1,97,0.7,97,0.7,801233,804410,"Low",15.444917249063
"344",344,"BL5","2019-09-18","10:57:00","Cyclopoids","Microcyclops rubellus",2,1,97,0.7,97,0.7,801233,804410,"Low",7.72245862453149
"350",350,"BL5","2019-09-18","10:57:00","Cyclopoids","Paracyclops chiltoni",1,1,97,0.7,97,0.7,801233,804410,"Low",3.86122931226575
"351",351,"BL5","2019-09-18","10:57:00","Cyclopoids","Paracyclops fimbriatus",1,1,97,0.7,97,0.7,801233,804410,"Low",3.86122931226575
"356",356,"BL5","2019-09-18","10:57:00","Calanoids","Calanoid copepodid",110,1,97,0.7,97,0.7,801233,804410,"Low",424.735224349232
"364",364,"BL5","2019-09-18","10:57:00","Calanoids","Pseudodiaptomus forbesi adult",18,1,97,0.7,97,0.7,801233,804410,"Low",69.5021276207834
"370",370,"BL5","2019-09-18","10:57:00","Cladocera","Alona",2,1,97,0.7,97,0.7,801233,804410,"Low",7.72245862453149
"372",372,"BL5","2019-09-18","10:57:00","Cladocera","Bosmina",3,1,97,0.7,97,0.7,801233,804410,"Low",11.5836879367972
"373",373,"BL5","2019-09-18","10:57:00","Cladocera","Camptocercus",10,1,97,0.7,97,0.7,801233,804410,"Low",38.6122931226575
"374",374,"BL5","2019-09-18","10:57:00","Cladocera","Ceriodaphnia",12,1,97,0.7,97,0.7,801233,804410,"Low",46.334751747189
"375",375,"BL5","2019-09-18","10:57:00","Cladocera","Chydorus",1,1,97,0.7,97,0.7,801233,804410,"Low",3.86122931226575
"377",377,"BL5","2019-09-18","10:57:00","Cladocera","Diaphanosoma",19,1,97,0.7,97,0.7,801233,804410,"Low",73.3633569330492
"380",380,"BL5","2019-09-18","10:57:00","Cladocera","Graptoleberis",4,1,97,0.7,97,0.7,801233,804410,"Low",15.444917249063
"381",381,"BL5","2019-09-18","10:57:00","Cladocera","Ilyocryptus",2,1,97,0.7,97,0.7,801233,804410,"Low",7.72245862453149
"393",393,"BL5","2019-09-18","10:57:00","Harpacticoids","Harpacticoids",1,1,97,0.7,97,0.7,801233,804410,"Low",3.86122931226575
"409",409,"BL5","2019-10-02","10:50:00","Microzooplankton_Nauplii","Rotifers",37,1,60,0.5,60,10,766167,769600,"Low",5.72464138724992
"410",410,"BL5","2019-10-02","10:50:00","Microzooplankton_Nauplii","Copepod nauplii",84,1,60,0.5,60,10,766167,769600,"Low",12.9964831494322
"411",411,"BL5","2019-10-02","10:50:00","Microzooplankton_Nauplii","Ostracods",34,1,60,0.5,60,10,766167,769600,"Low",5.2604812747702
"415",415,"BL5","2019-10-02","10:50:00","Cyclopoids","Cyclopoid copepodid",15,1,60,0.5,60,10,766167,769600,"Low",46.4160112479723
"423",423,"BL5","2019-10-02","10:50:00","Cyclopoids","Macrocyclops albidus",2,1,60,0.5,60,10,766167,769600,"Low",6.18880149972964
"425",425,"BL5","2019-10-02","10:50:00","Cyclopoids","Microcyclops rubellus",2,1,60,0.5,60,10,766167,769600,"Low",6.18880149972964
"436",436,"BL5","2019-10-02","10:50:00","Calanoids","Calanoid copepodid",199,1,60,0.5,60,10,766167,769600,"Low",615.785749223099
"443",443,"BL5","2019-10-02","10:50:00","Calanoids","Pseudodiaptomus forbesi adult",30,1,60,0.5,60,10,766167,769600,"Low",92.8320224959446
"453",453,"BL5","2019-10-02","10:50:00","Cladocera","Bosmina",2,1,60,0.5,60,10,766167,769600,"Low",6.18880149972964
"454",454,"BL5","2019-10-02","10:50:00","Cladocera","Camptocercus",2,1,60,0.5,60,10,766167,769600,"Low",6.18880149972964
"455",455,"BL5","2019-10-02","10:50:00","Cladocera","Ceriodaphnia",3,1,60,0.5,60,10,766167,769600,"Low",9.28320224959446
"456",456,"BL5","2019-10-02","10:50:00","Cladocera","Chydorus",1,1,60,0.5,60,10,766167,769600,"Low",3.09440074986482
"458",458,"BL5","2019-10-02","10:50:00","Cladocera","Diaphanosoma",3,1,60,0.5,60,10,766167,769600,"Low",9.28320224959446
"470",470,"BL5","2019-10-02","10:50:00","Cladocera","Pseudochydorus",1,1,60,0.5,60,10,766167,769600,"Low",3.09440074986482
"473",473,"BL5","2019-10-02","10:50:00","Cladocera","Simocephalus",1,1,60,0.5,60,10,766167,769600,"Low",3.09440074986482
"474",474,"BL5","2019-10-02","10:50:00","Harpacticoids","Harpacticoids",1,1,60,0.5,60,10,766167,769600,"Low",3.09440074986482
"491",491,"BL5","2019-10-16","11:18:00","Microzooplankton_Nauplii","Rotifers",6,1,57,0.3,57,3,741104,744600,"Low",2.88670591692552
"492",492,"BL5","2019-10-16","11:18:00","Microzooplankton_Nauplii","Copepod nauplii",330,1,57,0.3,57,3,741104,744600,"Low",158.768825430904
"493",493,"BL5","2019-10-16","11:18:00","Microzooplankton_Nauplii","Ostracods",22,1,57,0.3,57,3,741104,744600,"Low",10.5845883620603
"497",497,"BL5","2019-10-16","11:18:00","Cyclopoids","Cyclopoid copepodid",5,1,57,0.3,57,3,741104,744600,"Low",24.055882641046
"500",500,"BL5","2019-10-16","11:18:00","Cyclopoids","Eucyclops pectinifer",2,1,57,0.3,57,3,741104,744600,"Low",9.62235305641841
"518",518,"BL5","2019-10-16","11:18:00","Calanoids","Calanoid copepodid",185,1,57,0.3,57,3,741104,744600,"Low",890.067657718703
"525",525,"BL5","2019-10-16","11:18:00","Calanoids","Pseudodiaptomus forbesi adult",7,1,57,0.3,57,3,741104,744600,"Low",33.6782356974645
"529",529,"BL5","2019-10-16","11:18:00","Calanoids","Skistodiaptomus pallidus",1,1,57,0.3,57,3,741104,744600,"Low",4.81117652820921
"535",535,"BL5","2019-10-16","11:18:00","Cladocera","Bosmina",3,1,57,0.3,57,3,741104,744600,"Low",14.4335295846276
"537",537,"BL5","2019-10-16","11:18:00","Cladocera","Ceriodaphnia",1,1,57,0.3,57,3,741104,744600,"Low",4.81117652820921
"540",540,"BL5","2019-10-16","11:18:00","Cladocera","Diaphanosoma",2,1,57,0.3,57,3,741104,744600,"Low",9.62235305641841
"573",573,"I80-DUP","2019-08-20","09:40:00","Microzooplankton_Nauplii","Rotifers",255,1,75,0.4,75,1.1,931152,932000,"Low",1815.02253460208
"574",574,"I80-DUP","2019-08-20","09:40:00","Microzooplankton_Nauplii","Copepod nauplii",30,1,75,0.4,75,1.1,931152,932000,"Low",213.532062894362
"575",575,"I80-DUP","2019-08-20","09:40:00","Microzooplankton_Nauplii","Ostracods",16,1,75,0.4,75,1.1,931152,932000,"Low",113.883766876993
"577",577,"I80-DUP","2019-08-20","09:40:00","Cyclopoids","Acanthocyclops vernalis adult",1,1,75,0.4,75,1.1,931152,932000,"Low",19.5737724319832
"580",580,"I80-DUP","2019-08-20","09:40:00","Cyclopoids","Cyclopoid copepodid",41,1,75,0.4,75,1.1,931152,932000,"Low",802.524669711312
"588",588,"I80-DUP","2019-08-20","09:40:00","Cyclopoids","Mesocyclops edax",1,1,75,0.4,75,1.1,931152,932000,"Low",19.5737724319832
"600",600,"I80-DUP","2019-08-20","09:40:00","Calanoids","Calanoid copepodid",14,1,75,0.4,75,1.1,931152,932000,"Low",274.032814047765
"614",614,"I80-DUP","2019-08-20","09:40:00","Cladocera","Alona",8,1,75,0.4,75,1.1,931152,932000,"Low",156.590179455866
"617",617,"I80-DUP","2019-08-20","09:40:00","Cladocera","Bosmina",39,1,75,0.4,75,1.1,931152,932000,"Low",763.377124847345
"619",619,"I80-DUP","2019-08-20","09:40:00","Cladocera","Ceriodaphnia",18,1,75,0.4,75,1.1,931152,932000,"Low",352.327903775698
"620",620,"I80-DUP","2019-08-20","09:40:00","Cladocera","Chydorus",3,1,75,0.4,75,1.1,931152,932000,"Low",58.7213172959496
"621",621,"I80-DUP","2019-08-20","09:40:00","Cladocera","Daphnia",11,1,75,0.4,75,1.1,931152,932000,"Low",215.311496751815
"622",622,"I80-DUP","2019-08-20","09:40:00","Cladocera","Diaphanosoma",78,1,75,0.4,75,1.1,931152,932000,"Low",1526.75424969469
"623",623,"I80-DUP","2019-08-20","09:40:00","Cladocera","Disparalona",7,1,75,0.4,75,1.1,931152,932000,"Low",137.016407023882
"626",626,"I80-DUP","2019-08-20","09:40:00","Cladocera","Ilyocryptus",9,1,75,0.4,75,1.1,931152,932000,"Low",176.163951887849
"628",628,"I80-DUP","2019-08-20","09:40:00","Cladocera","Leydigia",1,1,75,0.4,75,1.1,931152,932000,"Low",19.5737724319832
"629",629,"I80-DUP","2019-08-20","09:40:00","Cladocera","Macrothrix",7,1,75,0.4,75,1.1,931152,932000,"Low",137.016407023882
"630",630,"I80-DUP","2019-08-20","09:40:00","Cladocera","Moina",14,1,75,0.4,75,1.1,931152,932000,"Low",274.032814047765
"632",632,"I80-DUP","2019-08-20","09:40:00","Cladocera","Picripleuroxus",1,1,75,0.4,75,1.1,931152,932000,"Low",19.5737724319832
"638",638,"I80-DUP","2019-08-20","09:40:00","Harpacticoids","Harpacticoids",1,1,75,0.4,75,1.1,931152,932000,"Low",19.5737724319832
"655",655,"I80","2019-08-06","09:26:00","Microzooplankton_Nauplii","Rotifers",292,1,60,0.1,60,0.3,890725,891431,"Low",7322.80148746811
"656",656,"I80","2019-08-06","09:26:00","Microzooplankton_Nauplii","Copepod nauplii",7,1,60,0.1,60,0.3,890725,891431,"Low",175.546611000948
"657",657,"I80","2019-08-06","09:26:00","Microzooplankton_Nauplii","Ostracods",8,1,60,0.1,60,0.3,890725,891431,"Low",200.624698286798
"659",659,"I80","2019-08-06","09:26:00","Cyclopoids","Acanthocyclops vernalis adult",2,1,60,0.1,60,0.3,890725,891431,"Low",150.468523715098
"662",662,"I80","2019-08-06","09:26:00","Cyclopoids","Cyclopoid copepodid",77,1,60,0.1,60,0.3,890725,891431,"Low",5793.03816303128
"671",671,"I80","2019-08-06","09:26:00","Cyclopoids","Microcyclops rubellus",1,1,60,0.1,60,0.3,890725,891431,"Low",75.2342618575491
"682",682,"I80","2019-08-06","09:26:00","Calanoids","Calanoid copepodid",1,1,60,0.1,60,0.3,890725,891431,"Low",75.2342618575491
"699",699,"I80","2019-08-06","09:26:00","Cladocera","Bosmina",38,1,60,0.1,60,0.3,890725,891431,"Low",2858.90195058686
"701",701,"I80","2019-08-06","09:26:00","Cladocera","Ceriodaphnia",9,1,60,0.1,60,0.3,890725,891431,"Low",677.108356717942
"702",702,"I80","2019-08-06","09:26:00","Cladocera","Chydorus",3,1,60,0.1,60,0.3,890725,891431,"Low",225.702785572647
"703",703,"I80","2019-08-06","09:26:00","Cladocera","Daphnia",2,1,60,0.1,60,0.3,890725,891431,"Low",150.468523715098
"704",704,"I80","2019-08-06","09:26:00","Cladocera","Diaphanosoma",68,1,60,0.1,60,0.3,890725,891431,"Low",5115.92980631334
"705",705,"I80","2019-08-06","09:26:00","Cladocera","Disparalona",8,1,60,0.1,60,0.3,890725,891431,"Low",601.874094860393
"708",708,"I80","2019-08-06","09:26:00","Cladocera","Ilyocryptus",1,1,60,0.1,60,0.3,890725,891431,"Low",75.2342618575491
"712",712,"I80","2019-08-06","09:26:00","Cladocera","Moina",50,1,60,0.1,60,0.3,890725,891431,"Low",3761.71309287745
"714",714,"I80","2019-08-06","09:26:00","Cladocera","Picripleuroxus",3,1,60,0.1,60,0.3,890725,891431,"Low",225.702785572647
"720",720,"I80","2019-08-06","09:26:00","Harpacticoids","Harpacticoids",3,1,60,0.1,60,0.3,890725,891431,"Low",225.702785572647
"737",737,"I80","2019-08-20","09:27:00","Microzooplankton_Nauplii","Rotifers",249,1,50,0.2,50,0.4,932045,933000,"Low",2885.19455257111
"738",738,"I80","2019-08-20","09:27:00","Microzooplankton_Nauplii","Copepod nauplii",22,1,50,0.2,50,0.4,932045,933000,"Low",254.916787777367
"739",739,"I80","2019-08-20","09:27:00","Microzooplankton_Nauplii","Ostracods",14,1,50,0.2,50,0.4,932045,933000,"Low",162.219774040143
"744",744,"I80","2019-08-20","09:27:00","Cyclopoids","Cyclopoid copepodid",39,1,50,0.2,50,0.4,932045,933000,"Low",903.795883937939
"747",747,"I80","2019-08-20","09:27:00","Cyclopoids","Eucyclops pectinifer",1,1,50,0.2,50,0.4,932045,933000,"Low",23.1742534343061
"764",764,"I80","2019-08-20","09:27:00","Calanoids","Calanoid copepodid",17,1,50,0.2,50,0.4,932045,933000,"Low",393.962308383204
"771",771,"I80","2019-08-20","09:27:00","Calanoids","Pseudodiaptomus forbesi adult",1,1,50,0.2,50,0.4,932045,933000,"Low",23.1742534343061
"778",778,"I80","2019-08-20","09:27:00","Cladocera","Alona",5,1,50,0.2,50,0.4,932045,933000,"Low",115.871267171531
"781",781,"I80","2019-08-20","09:27:00","Cladocera","Bosmina",24,1,50,0.2,50,0.4,932045,933000,"Low",556.182082423347
"783",783,"I80","2019-08-20","09:27:00","Cladocera","Ceriodaphnia",14,1,50,0.2,50,0.4,932045,933000,"Low",324.439548080286
"784",784,"I80","2019-08-20","09:27:00","Cladocera","Chydorus",2,1,50,0.2,50,0.4,932045,933000,"Low",46.3485068686123
"785",785,"I80","2019-08-20","09:27:00","Cladocera","Daphnia",6,1,50,0.2,50,0.4,932045,933000,"Low",139.045520605837
"786",786,"I80","2019-08-20","09:27:00","Cladocera","Diaphanosoma",72,1,50,0.2,50,0.4,932045,933000,"Low",1668.54624727004
"787",787,"I80","2019-08-20","09:27:00","Cladocera","Disparalona",2,1,50,0.2,50,0.4,932045,933000,"Low",46.3485068686123
"790",790,"I80","2019-08-20","09:27:00","Cladocera","Ilyocryptus",4,1,50,0.2,50,0.4,932045,933000,"Low",92.6970137372245
"791",791,"I80","2019-08-20","09:27:00","Cladocera","Kurzia",1,1,50,0.2,50,0.4,932045,933000,"Low",23.1742534343061
"793",793,"I80","2019-08-20","09:27:00","Cladocera","Macrothrix",7,1,50,0.2,50,0.4,932045,933000,"Low",162.219774040143
"794",794,"I80","2019-08-20","09:27:00","Cladocera","Moina",13,1,50,0.2,50,0.4,932045,933000,"Low",301.26529464598
"796",796,"I80","2019-08-20","09:27:00","Cladocera","Picripleuroxus",1,1,50,0.2,50,0.4,932045,933000,"Low",23.1742534343061
"819",819,"I80","2019-09-03","09:50:00","Microzooplankton_Nauplii","Rotifers",83,1,86,1.75,86,1.75,928348,929440,"Low",330.662520289783
"820",820,"I80","2019-09-03","09:50:00","Microzooplankton_Nauplii","Copepod nauplii",9,1,86,1.75,86,1.75,928348,929440,"Low",35.854972079615
"821",821,"I80","2019-09-03","09:50:00","Microzooplankton_Nauplii","Ostracods",13,1,86,1.75,86,1.75,928348,929440,"Low",51.7905152261105
"823",823,"I80","2019-09-03","09:50:00","Cyclopoids","Acanthocyclops vernalis adult",1,1,86,1.75,86,1.75,928348,929440,"Low",3.98388578662389
"826",826,"I80","2019-09-03","09:50:00","Cyclopoids","Cyclopoid copepodid",26,1,86,1.75,86,1.75,928348,929440,"Low",103.581030452221
"835",835,"I80","2019-09-03","09:50:00","Cyclopoids","Microcyclops rubellus",4,1,86,1.75,86,1.75,928348,929440,"Low",15.9355431464955
"841",841,"I80","2019-09-03","09:50:00","Cyclopoids","Paracyclops chiltoni",1,1,86,1.75,86,1.75,928348,929440,"Low",3.98388578662389
"863",863,"I80","2019-09-03","09:50:00","Cladocera","Bosmina",25,1,86,1.75,86,1.75,928348,929440,"Low",99.5971446655972
"865",865,"I80","2019-09-03","09:50:00","Cladocera","Ceriodaphnia",27,1,86,1.75,86,1.75,928348,929440,"Low",107.564916238845
"866",866,"I80","2019-09-03","09:50:00","Cladocera","Chydorus",12,1,86,1.75,86,1.75,928348,929440,"Low",47.8066294394866
"872",872,"I80","2019-09-03","09:50:00","Cladocera","Ilyocryptus",13,1,86,1.75,86,1.75,928348,929440,"Low",51.7905152261105
"873",873,"I80","2019-09-03","09:50:00","Cladocera","Kurzia",2,1,86,1.75,86,1.75,928348,929440,"Low",7.96777157324777
"876",876,"I80","2019-09-03","09:50:00","Cladocera","Moina",4,1,86,1.75,86,1.75,928348,929440,"Low",15.9355431464955
"878",878,"I80","2019-09-03","09:50:00","Cladocera","Picripleuroxus",2,1,86,1.75,86,1.75,928348,929440,"Low",7.96777157324777
"879",879,"I80","2019-09-03","09:50:00","Cladocera","Pleuroxus",5,1,86,1.75,86,1.75,928348,929440,"Low",19.9194289331194
"883",883,"I80","2019-09-03","09:50:00","Cladocera","Simocephalus",4,1,86,1.75,86,1.75,928348,929440,"Low",15.9355431464955
"884",884,"I80","2019-09-03","09:50:00","Harpacticoids","Harpacticoids",1,1,86,1.75,86,1.75,928348,929440,"Low",3.98388578662389
"901",901,"I80","2019-09-17","09:13:00","Microzooplankton_Nauplii","Rotifers",66,1,103,9,103,1.9,922205,925000,"Low",113.322164751586
"902",902,"I80","2019-09-17","09:13:00","Microzooplankton_Nauplii","Copepod nauplii",21,1,103,9,103,1.9,922205,925000,"Low",36.0570524209592
"903",903,"I80","2019-09-17","09:13:00","Microzooplankton_Nauplii","Ostracods",16,1,103,9,103,1.9,922205,925000,"Low",27.4720399397784
"904",904,"I80","2019-09-17","09:13:00","Cyclopoids","Acanthocyclops vernalis adult",6,1,103,9,103,1.9,922205,925000,"Low",2.17486982856579
"907",907,"I80","2019-09-17","09:13:00","Cyclopoids","Cyclopoid copepodid",95,1,103,9,103,1.9,922205,925000,"Low",34.4354389522917
"916",916,"I80","2019-09-17","09:13:00","Cyclopoids","Mesocyclops edax",2,1,103,9,103,1.9,922205,925000,"Low",0.724956609521931
"917",917,"I80","2019-09-17","09:13:00","Cyclopoids","Microcyclops rubellus",25,1,103,9,103,1.9,922205,925000,"Low",9.06195761902414
"922",922,"I80","2019-09-17","09:13:00","Cyclopoids","Tropocyclops prasinus",5,1,103,9,103,1.9,922205,925000,"Low",1.81239152380483
